Mark ID,Mark Name,Timestamp,CPU Usage %,
96,"VSPXAutoMark","48,000.00",8,
97,"VSPXAutoMark","48,500.00",8,
98,"VSPXAutoMark","49,000.00",8,
99,"VSPXAutoMark","49,500.00",8,
100,"VSPXAutoMark","50,000.00",8,
101,"VSPXAutoMark","50,500.00",8,
102,"VSPXAutoMark","51,000.00",8,
103,"VSPXAutoMark","51,500.00",8,
104,"VSPXAutoMark","52,000.00",8,
105,"VSPXAutoMark","52,500.00",8,
106,"VSPXAutoMark","53,000.00",8,
107,"VSPXAutoMark","53,500.00",8,
108,"VSPXAutoMark","54,000.00",8,
109,"VSPXAutoMark","54,500.00",7,
110,"VSPXAutoMark","55,000.00",8,
111,"VSPXAutoMark","55,500.00",8,
112,"VSPXAutoMark","56,000.00",8,
113,"VSPXAutoMark","56,500.00",8,
114,"VSPXAutoMark","57,000.00",8,
115,"VSPXAutoMark","57,500.00",7,
116,"VSPXAutoMark","58,000.00",8,
117,"VSPXAutoMark","58,500.00",8,
118,"VSPXAutoMark","59,000.00",8,
119,"VSPXAutoMark","59,500.00",8,
120,"VSPXAutoMark","60,000.00",8,
121,"VSPXAutoMark","60,500.00",8,
122,"VSPXAutoMark","61,000.00",8,
123,"VSPXAutoMark","61,500.00",8,
124,"VSPXAutoMark","62,000.00",8,
125,"VSPXAutoMark","62,500.00",8,
126,"VSPXAutoMark","63,000.00",8,
127,"VSPXAutoMark","63,500.00",8,
128,"VSPXAutoMark","64,000.00",8,
129,"VSPXAutoMark","64,500.00",8,
130,"VSPXAutoMark","65,000.00",8,
131,"VSPXAutoMark","65,500.00",8,
132,"VSPXAutoMark","66,000.00",8,
133,"VSPXAutoMark","66,500.00",8,
134,"VSPXAutoMark","67,000.00",8,
135,"VSPXAutoMark","67,500.00",8,
136,"VSPXAutoMark","68,000.00",8,
137,"VSPXAutoMark","68,500.00",8,
138,"VSPXAutoMark","69,000.00",8,
139,"VSPXAutoMark","69,500.00",8,
140,"VSPXAutoMark","70,000.00",8,
141,"VSPXAutoMark","70,500.00",8,
142,"VSPXAutoMark","71,000.00",8,
143,"VSPXAutoMark","71,500.00",8,
144,"VSPXAutoMark","72,000.00",8,
145,"VSPXAutoMark","72,500.00",8,
146,"VSPXAutoMark","73,000.00",8,
147,"VSPXAutoMark","73,500.00",8,
148,"VSPXAutoMark","74,000.00",8,
149,"VSPXAutoMark","74,500.00",8,
150,"VSPXAutoMark","75,000.00",8,
151,"VSPXAutoMark","75,500.00",8,
152,"VSPXAutoMark","76,000.00",8,
153,"VSPXAutoMark","76,500.00",8,
154,"VSPXAutoMark","77,000.00",8,
155,"VSPXAutoMark","77,500.00",8,
156,"VSPXAutoMark","78,000.00",8,
157,"VSPXAutoMark","78,500.00",8,
158,"VSPXAutoMark","79,000.00",8,
159,"VSPXAutoMark","79,500.00",8,
160,"VSPXAutoMark","80,000.00",8,
161,"VSPXAutoMark","80,500.00",8,
162,"VSPXAutoMark","81,000.00",8,
163,"VSPXAutoMark","81,500.00",8,
164,"VSPXAutoMark","82,000.00",8,
165,"VSPXAutoMark","82,500.00",8,
166,"VSPXAutoMark","83,000.00",8,
167,"VSPXAutoMark","83,500.00",7,
168,"VSPXAutoMark","84,000.00",8,
169,"VSPXAutoMark","84,500.00",8,
170,"VSPXAutoMark","85,000.00",8,
171,"VSPXAutoMark","85,500.00",8,
172,"VSPXAutoMark","86,000.00",8,
173,"VSPXAutoMark","86,500.00",8,
174,"VSPXAutoMark","87,000.00",8,
175,"VSPXAutoMark","87,500.00",8,
176,"VSPXAutoMark","88,000.00",8,
177,"VSPXAutoMark","88,500.00",8,
178,"VSPXAutoMark","89,000.00",8,
179,"VSPXAutoMark","89,500.00",8,
180,"VSPXAutoMark","90,000.00",8,
181,"VSPXAutoMark","90,500.00",8,
182,"VSPXAutoMark","91,000.00",8,
183,"VSPXAutoMark","91,500.00",8,
184,"VSPXAutoMark","92,000.00",8,
185,"VSPXAutoMark","92,500.00",8,
186,"VSPXAutoMark","93,000.00",8,
187,"VSPXAutoMark","93,500.00",8,
188,"VSPXAutoMark","94,000.00",8,
189,"VSPXAutoMark","94,500.00",8,
190,"VSPXAutoMark","95,000.00",8,
191,"VSPXAutoMark","95,500.00",8,
192,"VSPXAutoMark","96,000.00",7,
"4,294,967,295","End of Program","97,699.18",0,
